Match,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red Final,Blue Final,WonAuto
q1,648,8766,3723,8770,5837,6420,38,23,Red
q2,7531,11219,5041,3055,6419,11241,129,226,Blue
q3,967,9543,2847,5557,4260,5442,309,124,Red
q4,11312,5809,1108,9092,3298,6805,356,33,Red
q5,6455,3928,7257,2654,8822,7848,360,260,Red
q6,3267,8737,525,167,4728,6147,128,390,Blue
q7,5935,7038,9579,10439,1997,5141,16,37,Blue
q8,5914,11210,8821,59,4646,5576,32,229,Blue
q9,9570,2227,5275,967,10476,9061,32,167,Blue
q10,3928,11241,8766,7257,1108,5557,225,281,Red
q11,6455,6805,3267,7531,4260,6420,134,88,Red
q12,6147,2847,5837,1997,7848,6419,420,295,Red
q13,3298,2654,10439,525,8821,648,110,62,Red
q14,5914,5141,4728,9570,11219,8770,252,39,Red
q15,9579,4646,10476,9543,5041,8737,224,27,Red
q16,7038,8822,2227,5935,5442,5809,104,249,Blue
q17,5576,3055,5275,9092,3723,59,18,121,Blue
q18,11210,167,10439,9061,11312,8766,228,35,Red
q19,6420,8821,9570,11219,6147,1108,39,257,Blue
q20,4728,8737,6419,648,967,3928,359,189,Blue
q21,8822,5041,6805,525,5141,8770,51,91,Red
q22,3055,5809,4646,5935,7257,5275,456,206,Red
q23,167,59,9543,3723,7038,7531,237,50,Red
q24,5576,5914,11312,9061,1997,4260,78,20,Red
q25,5442,5837,10476,9092,3267,2654,96,199,Blue
q26,7848,2227,3298,5557,11241,11210,109,61,Blue
q27,2847,525,9570,5809,9579,6455,334,300,Blue
q28,7531,5275,6147,4728,8822,10439,219,256,Red
q29,6420,7257,3055,8821,8737,7038,230,57,Red
q30,1108,9543,5914,5837,5935,167,186,220,Red
q31,5557,3928,11312,10476,3723,5141,232,49,Red
q32,6419,9061,4646,3298,8770,6455,167,17,Red
q33,59,7848,4260,2227,648,5041,257,132,Red
q34,8766,9092,1997,11219,2654,967,47,156,Blue
q35,9579,3267,5442,5576,6805,11241,114,14,Red
q36,2847,10476,8822,11210,1108,7038,195,160,Red
q37,6147,6455,9061,3928,5935,3723,228,169,Blue
q38,7848,6420,11312,5275,9543,525,120,32,Red
q39,5837,5557,8821,5041,5809,4728,95,355,Blue
q40,59,2654,8770,11241,9579,967,272,95,Red
q41,5141,5576,9092,2227,7531,8737,60,114,Blue
q42,6805,6419,5442,5914,8766,3055,283,85,Red
q43,648,167,1997,4646,11210,9570,276,301,Blue
q44,7257,3298,11219,10439,2847,4260,215,256,Blue
q45,3267,59,5837,6455,11312,8822,185,66,Red
q46,11241,5935,7531,3723,967,525,40,216,Blue
q47,7038,5557,7848,8737,9092,5914,84,136,Blue
q48,9579,3055,5141,6147,648,11210,24,222,Blue
q49,9543,4728,11219,2654,9061,6805,265,104,Red
q50,4260,8770,6419,167,10476,5809,124,344,Blue
q51,3298,4646,1997,6420,5442,3928,302,123,Red
q52,8766,3267,2227,8821,5275,2847,,,
q53,7257,10439,5576,9570,5041,1108,,,
q54,9543,9061,5557,525,6455,3055,,,
q55,10476,7531,648,11219,5914,5809,,,
q56,4728,6420,9092,6419,11210,5935,,,
q57,8822,3723,3298,8737,8766,9579,,,
q58,5442,5576,2654,5141,5275,167,,,
q59,11241,9570,7038,4260,11312,5837,,,
q60,967,10439,1108,4646,7848,3267,,,
q61,1997,6805,6147,2227,59,7257,,,
q62,5041,8770,8821,2847,3928,9092,,,
q63,6420,648,11219,8822,5576,5557,,,
q64,5837,7531,5914,5275,9579,3298,,,
q65,3723,4260,8737,1108,6419,2654,,,
q66,11312,525,4728,4646,5442,7257,,,
q67,8770,167,3928,10439,3055,2227,,,
q68,8766,6147,967,7038,6455,5041,,,
q69,5809,1997,11210,3267,11241,9543,,,
q70,6805,8821,5935,10476,9570,7848,,,
q71,9061,5141,6420,1108,2847,59,,,
