Match,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red Final,Blue Final,WonAuto
Quals 1,2530,112,6419,967,2531,3206,136,74,Red
Quals 2,2987,4663,9082,6420,695,5576,152,88,Blue
Quals 3,7531,2549,4065,2290,3055,11246,169,65,Blue
Quals 4,2977,5847,4859,525,3284,7850,145,48,Blue
Quals 5,4143,7858,2667,3090,111,2358,175,186,Blue
Quals 6,4646,2508,2220,5339,3928,167,211,142,Red
Quals 7,5914,4174,967,5541,5822,3061,184,84,Blue
Quals 8,3284,7531,6420,2531,5576,112,69,33,Red
Quals 9,4663,525,2530,3090,4143,6419,157,312,Blue
Quals 10,3928,3206,11246,7858,9082,2290,217,109,Red
Quals 11,7850,2977,4065,167,4174,5822,148,175,Blue
Quals 12,695,5914,4646,2358,4859,2508,257,72,Red
Quals 13,3061,111,2987,5847,5541,5339,262,173,Red
Quals 14,2531,3055,2549,2667,2220,9082,49,158,Blue
Quals 15,7850,3928,4174,4663,3090,5576,254,84,Red
Quals 16,7531,2290,167,7858,695,525,123,228,Blue
Quals 17,967,111,4143,5541,3206,2987,313,65,Red
Quals 18,2530,2220,2549,5914,4065,3284,154,173,Red
Quals 19,3061,5339,2508,2667,5822,11246,95,66,Red
Quals 20,6419,4646,4859,3055,112,2977,319,108,Red
Quals 21,2358,6420,967,4174,7531,5847,31,223,Blue
Quals 22,2531,111,3284,2987,167,525,74,86,Blue
Quals 23,3090,3206,2290,2220,5914,3061,49,133,Blue
Quals 24,4143,3055,4663,7850,2549,112,217,68,Red
Quals 25,2358,5339,6419,7858,5822,5847,157,274,Blue
Quals 26,4859,9082,4065,3928,2977,6420,183,226,Blue
Quals 27,11246,5541,695,4646,2530,2667,179,267,Red
Quals 28,5576,525,111,2508,4174,2549,48,218,Blue
Quals 29,7850,4143,5914,7858,3061,2531,139,113,Blue
Quals 30,2987,2358,5847,4065,112,2290,247,175,Red
Quals 31,167,9082,2530,5822,7531,3090,160,106,Blue
Quals 32,11246,6419,967,3928,2220,695,134,271,Blue
Quals 33,5576,2667,2977,4663,4646,3206,43,200,Blue
Quals 34,5339,6420,3055,2508,3284,5541,16,30,Blue
Quals 35,2290,4174,2531,4143,4859,7531,188,221,Red
Quals 36,111,5847,167,9082,5914,2549,219,61,Red
Quals 37,2977,3206,2358,2530,11246,5576,46,103,Blue
Quals 38,3090,967,695,525,4065,5339,175,150,Blue
Quals 39,3061,4859,3055,7858,2508,4663,145,140,Red
Quals 40,5541,4646,6420,2220,2987,7850,141,169,Red
Quals 41,3928,6419,5822,2667,112,3284,307,91,Red
Quals 42,3206,2530,4174,2977,2549,5339,218,50,Red
Quals 43,11246,2531,4065,111,4663,4859,195,312,Blue
Quals 44,525,5914,3090,7531,3055,5541,67,95,Blue
Quals 45,5847,3061,7850,2667,2987,3928,272,134,Red
Quals 46,3284,967,9082,4143,2290,4646,101,292,Blue
Quals 47,2508,5576,5822,6419,6420,7858,32,170,Blue
Quals 48,112,167,2220,695,2358,4174,124,302,Blue
Quals 49,2987,5339,7531,4663,2977,5914,87,123,Red
Quals 50,2290,4859,3928,111,5541,2530,125,287,Blue
Quals 51,9082,11246,525,5847,5576,967,100,251,Blue
Quals 52,5822,3284,3055,3206,3061,695,37,239,Blue
Quals 53,2549,2358,7858,4646,7850,2531,108,226,Blue
Quals 54,2508,4143,112,4065,167,3090,262,143,Red
Quals 55,6420,2220,4174,6419,2667,525,218,119,Blue
